max_depth	min_split	ganancia_promedio
4	1000	8293333
4	1000	8273333
4	1000	7623333
4	1000	7560000
4	1000	7560000
4	1000	7560000
4	1000	7566667
4	1000	7560000
4	800	8293333
4	800	8273333
4	800	7623333
4	800	7560000
4	800	7560000
4	800	7560000
4	800	7566667
4	800	7560000
4	600	8293333
4	600	8273333
4	600	7623333
4	600	7560000
4	600	7560000
4	600	7560000
4	600	7566667
4	600	7560000
4	400	8293333
4	400	8273333
4	400	7623333
4	400	7560000
4	400	7560000
4	400	7560000
4	400	7566667
4	400	7560000
4	200	8293333
4	200	8273333
4	200	7623333
4	200	7560000
4	200	7560000
4	200	7560000
4	200	7566667
4	200	7560000
4	100	8293333
4	100	8273333
4	100	7623333
4	100	7560000
4	100	7560000
4	100	7560000
4	100	7566667
4	100	7560000
4	50	8293333
4	50	8273333
4	50	7623333
4	50	7560000
4	50	7560000
4	50	7560000
4	50	7566667
4	50	7560000
4	20	8293333
4	20	8273333
4	20	7623333
4	20	7560000
4	20	7560000
4	20	7560000
4	20	7566667
4	20	7560000
4	10	8293333
4	10	8273333
4	10	7623333
4	10	7560000
4	10	7560000
4	10	7560000
4	10	7566667
4	10	7560000
6	1000	7786667
6	1000	7633333
6	1000	7263333
6	1000	7360000
6	1000	7340000
6	1000	7230000
6	1000	7230000
6	1000	7190000
6	800	7786667
6	800	7633333
6	800	7263333
6	800	7413333
6	800	7393333
6	800	7283333
6	800	7283333
6	800	7243333
6	600	7786667
6	600	7633333
6	600	7263333
6	600	7370000
6	600	7350000
6	600	7240000
6	600	7240000
6	600	7200000
6	400	7786667
6	400	7633333
6	400	7263333
6	400	7356667
6	400	7336667
6	400	7226667
6	400	7226667
6	400	7186667
6	200	7786667
6	200	7633333
6	200	7263333
6	200	7473333
6	200	7453333
6	200	7343333
6	200	7343333
6	200	7300000
6	100	7786667
6	100	7633333
6	100	7263333
6	100	7473333
6	100	7453333
6	100	7343333
6	100	7343333
6	100	7320000
6	50	7786667
6	50	7633333
6	50	7263333
6	50	7473333
6	50	7453333
6	50	7343333
6	50	7343333
6	50	7320000
6	20	7786667
6	20	7633333
6	20	7263333
6	20	7526667
6	20	7523333
6	20	7403333
6	20	7403333
6	20	7410000
6	10	7786667
6	10	7650000
6	10	7280000
6	10	7543333
6	10	7530000
6	10	7406667
6	10	7403333
6	10	7410000
8	1000	7740000
8	1000	7566667
8	1000	6486667
8	1000	6566667
8	1000	7186667
8	1000	6596667
8	1000	6596667
8	1000	6406667
8	800	7740000
8	800	7566667
8	800	6486667
8	800	6620000
8	800	7240000
8	800	6650000
8	800	6650000
8	800	6460000
8	600	7740000
8	600	7460000
8	600	6380000
8	600	6470000
8	600	7090000
8	600	6793333
8	600	6793333
8	600	6603333
8	400	7933333
8	400	7640000
8	400	6560000
8	400	6450000
8	400	7070000
8	400	6933333
8	400	6880000
8	400	6690000
8	200	7933333
8	200	7636667
8	200	6556667
8	200	6556667
8	200	7176667
8	200	7036667
8	200	6983333
8	200	6776667
8	100	7933333
8	100	7636667
8	100	6556667
8	100	6373333
8	100	6993333
8	100	6853333
8	100	6800000
8	100	6593333
8	50	7933333
8	50	7636667
8	50	6556667
8	50	6373333
8	50	6993333
8	50	6853333
8	50	6800000
8	50	6593333
8	20	7740000
8	20	7666667
8	20	6586667
8	20	6476667
8	20	7103333
8	20	6776667
8	20	6766667
8	20	6610000
8	10	7773333
8	10	7700000
8	10	6616667
8	10	6540000
8	10	7180000
8	10	6823333
8	10	6800000
8	10	6626667
10	1000	7686667
10	1000	7503333
10	1000	6426667
10	1000	6496667
10	1000	7120000
10	1000	6530000
10	1000	6526667
10	1000	6346667
10	800	7866667
10	800	7683333
10	800	6970000
10	800	6913333
10	800	6866667
10	800	6273333
10	800	6270000
10	800	6086667
10	600	7866667
10	600	7576667
10	600	6220000
10	600	6120000
10	600	6073333
10	600	5976667
10	600	6616667
10	600	6433333
10	400	8040000
10	400	8130000
10	400	6773333
10	400	7320000
10	400	7280000
10	400	7096667
10	400	7126667
10	400	6540000
10	200	8010000
10	200	8096667
10	200	6736667
10	200	7360000
10	200	7333333
10	200	7190000
10	200	7196667
10	200	6593333
10	100	8013333
10	100	8100000
10	100	6736667
10	100	7166667
10	100	7136667
10	100	6980000
10	100	6990000
10	100	6390000
10	50	8173333
10	50	8260000
10	50	6860000
10	50	7140000
10	50	7096667
10	50	6813333
10	50	6786667
10	50	6186667
10	20	7980000
10	20	8320000
10	20	6923333
10	20	7090000
10	20	7043333
10	20	6660000
10	20	6673333
10	20	5576667
10	10	8043333
10	10	8393333
10	10	6860000
10	10	7056667
10	10	7023333
10	10	6763333
10	10	6653333
10	10	5303333
12	1000	6870000
12	1000	6126667
12	1000	6323333
12	1000	6406667
12	1000	7010000
12	1000	6346667
12	1000	6330000
12	1000	6140000
12	800	7040000
12	800	6296667
12	800	6843333
12	800	6806667
12	800	6706667
12	800	6040000
12	800	6023333
12	800	5766667
12	600	7040000
12	600	6190000
12	600	6083333
12	600	6e+06
12	600	5890000
12	600	5726667
12	600	5686667
12	600	5770000
12	400	7096667
12	400	6743333
12	400	6936667
12	400	7196667
12	400	6943333
12	400	6703333
12	400	6046667
12	400	5873333
12	200	7066667
12	200	6710000
12	200	7110000
