fecha	cp	minsplit	minbucket	maxdepth	xval_folds	ganancia	iteracion
20220520 204350	-0.245263758134388	4928	1122	14	5	9396000	1
20220520 204429	-0.496621303161373	2961	576	12	5	10513000	2
20220520 204448	-0.162254847217991	5887	710	3	5	8850000	3
20220520 204515	-0.853908122479334	2385	293	6	5	10336000	4
20220520 204622	-0.885602131867199	7724	1392	11	5	7756000	5
20220520 204735	-0.444810056820279	4266	1836	14	5	9217000	6
20220520 204835	-0.316057469714724	6526	877	8	5	9357000	7
20220520 204946	-0.632262012691353	3814	754	18	5	10082000	8
20220520 205022	0.0611134100079653	3336	1287	16	5	0	9
20220520 205118	-0.0134162215865217	7397	1535	7	5	7756000	10
20220520 205246	-0.219091527796991	6444	57	20	5	8663000	11
20220520 205355	-0.975317408288538	5326	484	9	5	9408000	12
20220520 205440	-0.063591321183776	569	198	4	5	10087000	13
20220520 205540	-0.491938114375807	5800	957	9	5	9488000	14
20220520 205636	-0.890487449678282	4653	1546	7	5	9426000	15
20220520 205740	-0.452560740872286	7581	1372	9	5	7756000	16
20220520 205816	-0.383933997243987	654	11	3	5	8742000	17
20220520 205854	-0.644474200693625	2913	16	3	5	8743000	18
20220520 210014	-0.86216561377493	2720	605	19	5	10725000	19
20220520 210136	-0.994417098980566	2243	897	14	5	10587000	20
20220520 210300	-0.864146187692675	1431	715	19	5	10187000	21
20220520 210417	-0.540025734544714	2228	909	20	5	10602000	22
20220520 210559	-0.958260979733718	3308	4	16	5	8803000	23
20220520 210658	-0.821009600530747	2396	1195	15	5	10408000	24
20220520 210812	-0.51055337199858	2788	334	20	5	10083000	25
20220520 210918	-0.896984874566573	2236	829	19	5	10715000	26
20220520 210951	-0.999184593346051	1763	877	3	5	9088000	27
20220520 211102	-0.862449617566256	2378	598	14	5	10932000	28
20220520 211158	-0.370125532567091	4904	112	8	5	9309000	29
20220520 211230	-0.759015595922781	5233	825	20	5	9408000	30
20220520 211305	-0.566550988747089	2436	791	12	5	10990000	31
20220520 211355	-0.144840243284215	8	2	14	5	8040000	32
20220520 211430	-0.513217267809094	1990	666	11	5	10867000	33
20220520 211508	-0.711981534701395	2206	597	17	5	11143000	34
20220520 211543	-0.727672495999811	2323	674	11	5	10813000	35
20220520 211620	-0.62430786369376	2111	584	16	5	10907000	36
20220520 211658	-0.781015696111262	2223	465	20	5	10955000	37
20220520 211715	-0.244891175833804	1494	711	3	5	9078000	38
20220520 211752	-0.704345040519229	2459	638	18	5	10932000	39
20220520 211830	-0.748373927609637	2095	565	17	5	10936000	40
20220520 211939	-0.543166917402281	2257	538	13	5	11124000	41
20220520 212135	-0.999207881844335	8	1	20	5	6727000	42
20220520 212225	-0.999237093416628	5656	1999	20	5	9014000	43
20220520 212321	-0.539076746676191	2254	626	9	5	11095000	44
20220520 212434	-0.702812086179093	2182	530	20	5	11067000	45
20220520 212541	-0.493931780778535	2275	663	11	5	10871000	46
20220520 212622	-0.84271031647764	2214	402	17	5	10955000	47
20220520 212657	-0.558586467202185	2214	645	12	5	11148000	48
20220520 212735	-0.556050283260406	1264	632	13	5	10131000	49
20220520 212808	-0.532624671463494	4668	790	15	5	9812000	50
20220520 212838	-0.307057924450673	5900	2000	20	5	9014000	51
20220520 212853	0.098605706389536	2	1	3	5	0	52
20220520 212910	-0.114497810828333	1032	4	3	5	8722000	53
20220520 212940	-0.358341801653935	2475	1237	8	5	10246000	54
20220520 213016	-0.684992678694613	1992	724	14	5	10653000	55
20220520 213101	-0.718021828353418	2200	231	17	5	10811000	56
20220520 213133	-0.304773812788739	3707	1799	3	5	8278000	57
20220520 213241	-0.417177596950162	2200	542	11	5	11177000	58
20220520 213320	-0.426763094565579	2218	620	4	5	9963000	59
20220520 213433	-0.383541275699082	2145	524	16	5	11067000	60
