Feature	Gain	Cover	Frequency
ctrx_quarter	0.0778690852888814	0.0292978870617702	0.0323472208004914
mpayroll	0.0766639582762048	0.0313100504257507	0.0121813901115774
mtarjeta_visa_consumo	0.0662012941440593	0.0160913027807002	0.0186303613471184
mcaja_ahorro	0.0562115810420849	0.0231670255048552	0.0354181594840823
mpasivos_margen	0.0509134043250076	0.0227061003249683	0.0300951990991913
cpayroll_trx	0.0314564047656011	0.0145399740820667	0.00470877264817279
mcuenta_corriente	0.0311436567599228	0.0135132123420115	0.0194492783294094
mcuentas_saldo	0.0294409861967136	0.0277151749607335	0.0290715528713277
Visa_msaldopesos	0.0269768885147145	0.0140211950254536	0.0177090797420412
mactivos_margen	0.024445990834401	0.0254244229288254	0.0248746033370867
mprestamos_personales	0.0235324914767227	0.0154106585838926	0.00532296038489098
ctarjeta_visa_trx	0.0208407908437164	0.020502367965963	0.0224178523902139
Master_fechaalta	0.0181734333877881	0.0232697041931534	0.0321424915549186
Visa_Fvencimiento	0.0176578269001978	0.0126024298990283	0.0234414986180776
mrentabilidad_annual	0.0175216738577556	0.0161454857899766	0.020472924557273
cliente_edad	0.0171863854694484	0.022993137016616	0.0260006141877367
ccomisiones_otras	0.016280068855432	0.0127113138618925	0.0125908486027229
Master_Fvencimiento	0.0154204498509133	0.0194812332131357	0.0262053434333095
mrentabilidad	0.0146739065031673	0.0128875356138257	0.019346913706623
Visa_fechaalta	0.0142059889134725	0.0146840832866924	0.0252840618282322
mcomisiones_otras	0.0141170486568972	0.0135168128092637	0.0210871122939912
cliente_antiguedad	0.0136025210344586	0.0118565649476672	0.0192445490838366
chomebanking_trx	0.012173578783174	0.0130810456428719	0.0161736104002457
numero_de_cliente	0.0119676509313325	0.0109372037377396	0.019346913706623
Visa_msaldototal	0.0116622946440698	0.012199821225738	0.0161736104002457
Visa_mpagospesos	0.0116061733291488	0.0124052389453612	0.0188350905926912
Master_mfinanciacion_limite	0.0113543850699493	0.0122637395766347	0.0202681953117003
Visa_mpagominimo	0.0111227839116503	0.013316504132557	0.017094892005323
Master_status	0.0100646830794069	0.00650155379773414	0.00194492783294094
mautoservicio	0.00945085485612723	0.0137042985928238	0.0180161736104002
Visa_mfinanciacion_limite	0.00924684646039147	0.0110845060941881	0.0154570580407411
Visa_mconsumospesos	0.0091889132248355	0.0105384318752222	0.0163783396458184
mcomisiones	0.0090252351519695	0.00953433397023051	0.0145357764356638
mcaja_ahorro_dolares	0.00848228826722502	0.0181737657706374	0.0159688811546729
Visa_cconsumos	0.00833989948638243	0.00963609745595912	0.0142286825673047
Master_mlimitecompra	0.00812075419514855	0.0100679674685514	0.014023953321732
Visa_mlimitecompra	0.0080124281889516	0.0118683871522898	0.0137168594533729
mtarjeta_visa_debitos_automaticos	0.00790106868404946	0.01140578242483	0.0150475995495957
mcomisiones_mantenimiento	0.00782453772161619	0.016812346633798	0.0111577438837138
